"Plot","Date","minTemperature","maxTemperature","meanTemperature","Year","Accession","CO2_400","CO2_600","CO2_800","CO2_1000","CO2_1250","CO2_300","CO2_250","CO2_200","CO2_100","CO2_75","CO2_25"
1240,2021-09-01,13.3,17.9,15.6,2021,"SSA_00096",31.0815,37.0026,37.8121,37.464,35.9632,22.0974,19.1783,15.9104,8.34106,6.61477,2.28469
1240,2021-09-01,13.3,17.9,15.6,2021,"SSA_00096",22.3064,28.4097,29.4083,28.8263,27.5088,18.8155,16.5219,13.7673,7.19816,5.69296,2.21436
2062,2021-08-26,14.1,17.5,15.8,2021,"SSA_00096",28.1891,37.7567,40.7043,40.5419,39.0362,18.8541,16.3553,13.5038,6.96513,5.56726,1.81734
2062,2021-08-26,14.1,17.5,15.8,2021,"SSA_00096",25.5649,32.9091,34.4277,33.4252,32.7761,16.83,15.0342,12.975,6.99517,5.69789,2.20048
2062,2021-08-26,14.1,17.5,15.8,2021,"SSA_00096",33.1837,42.1722,43.8041,43.4645,42.5201,19.6777,17.5604,14.9874,7.87013,6.28638,2.19347
1087,2021-09-07,15.5,30.4,22.95,2021,"SSA_00097",28.8464,35.374,36.714,36.4601,36.2495,22.0915,19.2914,16.4449,8.57746,7.03056,2.39809
1087,2021-09-07,15.5,30.4,22.95,2021,"SSA_00097",33.0503,39.0074,39.7687,39.8607,39.5992,23.0136,19.8632,16.6448,8.55365,6.74963,2.32454
1087,2021-09-07,15.5,30.4,22.95,2021,"SSA_00097",35.8148,38.8979,39.3053,39.5052,39.4651,30.287,26.725,22.3777,11.659,9.26186,3.08348
2083,2021-09-14,14.7,17.2,15.95,2021,"SSA_00097",18.2617,19.9457,20.2833,20.0565,20.0777,14.4058,13.3886,11.6442,6.34641,5.15076,1.77423
2083,2021-09-14,14.7,17.2,15.95,2021,"SSA_00097",33.5678,38.0927,38.246,37.6494,37.7033,25.0263,22.151,18.6932,9.77597,7.88998,2.57713
2083,2021-09-14,14.7,17.2,15.95,2021,"SSA_00097",23.597,27.0657,27.0411,27.1216,27.2076,17.1833,15.1879,12.8107,7.19417,5.46672,2.06818
1188,2021-08-24,11,23,17,2021,"SSA_00105",16.136,23.1484,27.577,29.8063,31.0699,11.958,10.3062,8.5931,4.41634,3.71369,1.12003
1188,2021-08-24,11,23,17,2021,"SSA_00105",21.278,30.9902,36.9047,40.2244,41.1866,17.2047,14.8905,12.6718,6.48983,5.16225,1.75922
1188,2021-08-24,11,23,17,2021,"SSA_00105",21.768,29.1023,33.5857,35.1297,36.0595,12.9506,11.0325,8.80904,4.41245,3.49541,1.13791
2303,2021-09-01,13.3,17.9,15.6,2021,"SSA_00111",29.2912,35.5095,36.9496,37.5733,37.8967,21.5367,19.155,16.4519,8.79722,7.19325,2.7918
